baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	entrez
ENSG00000006468.15	1708.26783864879	0.313422393557359	0.0634309915988188	4.94115550864565	7.76609347013942e-07	3.94190369142406e-06	ETV1	2115
ENSG00000006530.18	5137.53870966762	-0.327005691826071	0.0431610424424674	-7.57640856941678	3.55251855358667e-14	3.44747511016228e-13	AGK	55750
ENSG00000006534.17	169.964722744294	1.89414797815471	0.170296052989416	11.1226769200131	9.73077397583751e-29	2.54899009750645e-27	ALDH3B1	221
ENSG00000006607.14	8963.67212381389	0.375696041112579	0.0382288776925962	9.82754566151809	8.56814202152258e-23	1.52407572199488e-21	FARP2	9855
ENSG00000006611.17	68.8448586929229	1.9851588718313	0.272114487394291	7.2953075407368	2.9797764192449e-13	2.69515520719268e-12	USH1C	10083
ENSG00000006625.18	3997.11773857576	-0.249482079332239	0.0488489076335648	-5.1072192075144	3.2693440070359e-07	1.726118712155e-06	GGCT	79017
ENSG00000006634.8	5539.05416062172	-0.444765485401756	0.0457328485802941	-9.72529591330557	2.35220471542971e-22	4.06688263595883e-21	DBF4	10926
ENSG00000006638.13	6.66802385364458	2.38601237568119	0.920426173744062	2.59229087975138	0.00953391235343496	0.0262331465363231	TBXA2R	6915
ENSG00000006652.15	1078.37266475042	0.244864074472822	0.0700898610768337	3.49357340292625	0.000476601940626497	0.00169221011431206	IFRD1	3475
ENSG00000006695.12	2511.61113599388	-0.505170040169801	0.0501557265109637	-10.072031157985	7.34453913210155e-24	1.40670637130888e-22	COX10	1352
ENSG00000006704.11	6538.19991340948	-0.37198415733827	0.0403776844797534	-9.21261736850697	3.18267851220613e-20	4.73796458002243e-19	GTF2IRD1	9569
ENSG00000006712.15	7453.87956585962	-0.320927189625366	0.0487005353011604	-6.58980825653716	4.40394961532769e-11	3.3801799292909e-10	PAF1	54623
ENSG00000006715.16	5046.72430461216	-0.323516740617663	0.0452230344301531	-7.15380435422426	8.44053423100129e-13	7.34746977854237e-12	VPS41	27072
ENSG00000006740.18	90.8687117934592	1.33793839689326	0.233989426735933	5.71794382146668	1.07820774752673e-08	6.57370442873166e-08	ARHGAP44	9912
ENSG00000006744.19	12724.5912218603	-0.270544092738955	0.039304705425063	-6.88324946881399	5.85024426191778e-12	4.81521288894743e-11	ELAC2	60528
ENSG00000006747.15	12.5482456787382	1.9368533713299	0.634175408359701	3.05412878802662	0.00225715160248376	0.00710016400189929	SCIN	85477
ENSG00000006756.16	50.8099215221439	3.47580473230011	0.393588230807982	8.83106876738861	1.03680217562391e-18	1.38050496581478e-17	ARSD	414
ENSG00000006831.10	28020.3537716577	-0.0826412308190798	0.0384741113948208	-2.14796983797797	0.0317161516335206	0.0755511100260187	ADIPOR2	79602
ENSG00000007047.16	4647.6401223135	0.397407209453919	0.0435149349336876	9.13266238498409	6.68350318715486e-20	9.7636585326783e-19	MARK4	57787
ENSG00000007062.12	727.395116907591	1.71673017884542	0.0873758670145179	19.6476468560841	6.0555891356902e-86	1.99369117259982e-83	PROM1	8842
ENSG00000007080.11	11946.9511161339	-0.525289833494803	0.0468071025009762	-11.2224385921741	3.16422709148481e-29	8.5684510853312e-28	CCDC124	115098
ENSG00000007168.15	18206.2032141208	-0.270811008640214	0.0357945958123957	-7.56569539322557	3.85795130278709e-14	3.72998896127579e-13	PAFAH1B1	5048
ENSG00000007171.19	300.206546025706	0.552575179075301	0.11862923853563	4.65800156771077	3.19293781557311e-06	1.50968278242903e-05	NOS2	4843
ENSG00000007202.16	31829.9546950696	0.0899045288160831	0.0413335874136455	2.17509619758779	0.0296229083542622	0.0712101840439826	BLTP2	9703
ENSG00000007237.19	13.1056455541009	2.4602918676609	0.661974310751646	3.71659719675124	0.000201923981568853	0.000758263461583506	GAS7	8522
ENSG00000007341.19	4571.8731963596	-0.236200681231047	0.0433434347082348	-5.44951462248034	5.05074707777581e-08	2.8967818883325e-07	ST7L	54879
ENSG00000007350.18	43.7534837006096	0.758128789904504	0.311134576397932	2.43665875609685	0.0148236608968648	0.0388861563256934	TKTL1	8277
ENSG00000007372.25	20.5303622875353	1.60429505868587	0.478984270518185	3.34936898230557	0.000809958520697478	0.00275749130857244	PAX6	5080
ENSG00000007376.8	10869.8263619518	-0.24661723360931	0.0469665527049455	-5.25091196619465	1.51348004992502e-07	8.28440943673521e-07	RPUSD1	113000
ENSG00000007384.15	2112.57865161876	0.567076511224656	0.0530389408230726	10.691701275037	1.11310200452535e-26	2.57313314083809e-25	RHBDF1	64285
ENSG00000007392.17	8383.74472360128	-0.112296498054544	0.0482528032801534	-2.32725334945943	0.0199517850863558	0.0504839399843015	LUC7L	55692
ENSG00000007516.15	182.390034873535	1.05187063342865	0.153153707844731	6.86807161400917	6.50755534534279e-12	5.33797032615491e-11	BAIAP3	8938
ENSG00000007520.4	7484.2390696373	-0.30551152954403	0.0485296288455712	-6.29536093334269	3.06685405169715e-10	2.17707658136477e-09	TSR3	115939
ENSG00000007541.17	5260.67082711895	0.115051548279568	0.0488930761961518	2.35312557994916	0.0186163457382826	0.0475433531196428	PIGQ	9091
ENSG00000007545.16	3181.96868004712	-0.20502719953717	0.0470234499149941	-4.36010543479488	1.29999790999997e-05	5.72837906890238e-05	CRAMP1	57585
